group,folder,name,description,authors,settings,patches,before_send,before_edit,flux,render,native,verdict,ported
plugins,accountPanelServerProfile,AccountPanelServerProfile,Prioritize Server Profile when left clicking your account panel,"Devs.Nuckyz,Devs.relitrix",1,True,False,False,False,False,,rewrite,
plugins,addAttachments,AddAttachments,Allows you to add new attachments while editing messages,Devs.Lumap,2,False,False,False,False,False,,portable-logic,
plugins,alwaysAnimate,AlwaysAnimate,"Always animate server icons, avatars, decor and more",Devs.FieryFlames,5,True,False,False,False,False,,rewrite,
plugins,alwaysExpandRoles,AlwaysExpandRoles,Hide Arrow,Devs.surgedevs,1,True,False,False,False,False,,rewrite,
plugins,alwaysTrust,AlwaysTrust,Remove the untrusted domain popup when opening links,"Devs.zt,Devs.Trwy",4,True,False,False,False,False,,rewrite,
plugins,anonymiseFileNames,AnonymiseFileNames,Whether to anonymise file names by default,Devs.fawn,9,True,False,False,False,False,,rewrite,
plugins,appleMusic.desktop,AppleMusicRichPresence,Which type of activity,Devs.RyanCaoDev,16,False,False,False,False,False,native.ts,native-feature,
plugins,arRPC.web,WebRichPresence,Client plugin for arRPC to enable RPC on Discord Web (experimental),Devs.Ducko,0,False,False,False,False,False,,portable-logic,
plugins,autoDndWhilePlaying.discordDesktop,AutoDNDWhilePlaying,Status to set while playing a game,Devs.thororen,2,False,False,False,True,False,,portable-hook,
plugins,betterFolders,BetterFolders,Display servers from folder on dedicated sidebar,"Devs.juby,Devs.AutumnVN,Devs.Nuckyz",11,True,False,False,True,False,,rewrite,
plugins,betterGifAltText,BetterGifAltText,Change GIF alt text from simply being 'GIF' to containing the gif tags / filename,Devs.Ven,0,True,False,False,False,False,,rewrite,
plugins,betterGifPicker,BetterGifPicker,Makes the gif picker open the favourite category by default,Devs.Samwich,0,True,False,False,False,False,,rewrite,
plugins,betterRoleContext,BetterRoleContext,File format to use when viewing role icons,"Devs.Ven,Devs.goodbee,Devs.nightmaresan",2,False,False,False,False,False,,portable-logic,
plugins,betterRoleDot,BetterRoleDot,Show both role dot and coloured names,"Devs.Ven,Devs.AutumnVN",2,True,False,False,False,False,,rewrite,
plugins,betterSessions,BetterSessions,"Check for new sessions in the background, and display notifications when they are detected",Devs.amia,3,True,False,False,True,False,,rewrite,
plugins,betterSettings,BetterSettings,Disable the crossfade animation,Devs.Kyuuhachi,3,True,False,False,False,False,,rewrite,
plugins,betterUploadButton,BetterUploadButton,"Upload with a single click, open menu with right click","Devs.fawn,Devs.Ven",0,True,False,False,False,False,,rewrite,
plugins,biggerStreamPreview,BiggerStreamPreview,This plugin allows you to enlarge stream previews,Devs.phil,3,False,False,False,False,False,,portable-logic,
plugins,blurNsfw,BlurNSFW,Blur Amount (in pixels),Devs.Ven,2,True,False,False,False,False,,rewrite,
plugins,callTimer,CallTimer,Compact or human readable format:,"Devs.Ven,EquicordDevs.MaxHerbold,Devs.D3",8,True,False,False,True,False,,rewrite,
plugins,characterCounter,CharacterCounter,Enable yellow/red colouring as you get closer to the character limit,"Devs.thororen,Devs.creations",1,True,False,False,False,False,,rewrite,
plugins,clearURLs,ClearURLs,Automatically removes tracking elements from URLs you send,"Devs.adryd,Devs.thororen",0,False,False,False,False,False,,portable-logic,clearurls
plugins,clientTheme,ClientTheme,Recreation of the old client theme experiment. Add a color to your Discord client theme,Devs.Nuckyz,2,False,False,False,False,False,,portable-logic,
plugins,colorSighted,ColorSighted,"Removes the colorblind-friendly icons from statuses, just like 2015-2017 Discord",Devs.lewisakura,0,True,False,False,False,False,,rewrite,
plugins,consoleJanitor,ConsoleJanitor,Disables Discords loggers,"Devs.Nuckyz,Devs.sadan",4,True,False,False,False,False,,rewrite,
plugins,consoleShortcuts,ConsoleShortcuts,Adds shorter Aliases for many things on the window. Run `shortcutList` for a list.,Devs.Ven,0,True,False,False,False,False,native.ts,native-feature,
plugins,copyEmojiMarkdown,CopyEmojiMarkdown,Copy the raw unicode character instead of :name: for default emojis (👽),"Devs.HappyEnderman,Devs.Vishnya",2,False,False,False,False,False,,portable-logic,
plugins,copyFileContents,CopyFileContents,Adds a button to text file attachments to copy their contents,"Devs.Obsidian,Devs.Nuckyz",0,True,False,False,False,False,,rewrite,
plugins,copyStickerLinks,CopyStickerLinks,Adds the ability to copy & open Sticker links,"Devs.Ven,Devs.Byeoon",1,False,False,False,False,False,,portable-logic,copy
plugins,copyUserURLs,CopyUserURLs,Adds a 'Copy User URL' option to the user context menu.,Devs.castdrian,1,False,False,False,False,False,,portable-logic,copy
plugins,crashHandler,CrashHandler,Whether to attempt to prevent Discord crashes.,Devs.Nuckyz,2,True,False,False,False,False,,rewrite,
plugins,customCommands,ephemeral,Whether the response should only be visible to you,"Devs.Ven,Devs.Luna,",0,False,False,False,False,False,,portable-ui,
plugins,customIdle,CustomIdle,Minutes before Discord goes idle (0 to disable auto-idle),Devs.newwares,2,True,False,False,False,False,,rewrite,
plugins,customRPC,CustomRPC,Add a fully customisable Rich Presence (Game status) to your Discord profile,"Devs.captain,Devs.AutumnVN,Devs.nin0dev",1,True,False,False,False,False,,rewrite,
plugins,dearrow,Dearrow,Hides the Dearrow button from YouTube embeds,Devs.Ven,4,True,False,False,False,False,,rewrite,
plugins,decor,Decor,"Create and use your own custom avatar decorations, or pick your favorite from the presets.",Devs.FieryFlames,1,False,False,False,True,False,,portable-hook,
plugins,devCompanion.dev,DevCompanion,Whether to notify when Dev Companion has automatically connected.,"Devs.Ven,Devs.sadan",4,False,False,False,False,False,,portable-logic,
plugins,disableCallIdle,DisableCallIdle,Disables automatically getting kicked from a DM voice call after 3 minutes and being moved to an AFK voice cha,Devs.Nuckyz,0,True,False,False,False,False,,rewrite,
plugins,dontRoundMyTimestamps,DontRoundMyTimestamps,"Always rounds relative timestamps down, so 7.6y becomes 7y instead of 8y",Devs.Lexi,0,False,False,False,False,False,,portable-logic,
plugins,experiments,Experiments,Enable Access to Experiments & other dev-only features in Discord!,"
Devs.Megu,
Devs.Ven,
Devs.Nickyux,
Devs",0,True,False,False,False,False,,rewrite,
plugins,expressionCloner,ExpressionCloner,Allows you to clone Emotes & Stickers to your own server (right click them),"Devs.Ven,Devs.Nuckyz",1,False,False,False,False,False,,portable-logic,
plugins,f8break,F8Break,Pause the client when you press F8 with DevTools (+ breakpoints) open.,Devs.lewisakura,0,False,False,False,False,False,,portable-logic,
plugins,fakeNitro,FakeNitro,Allows sending fake emojis (also bypasses missing permission to use custom emojis),"Devs.Arjix,Devs.D3SOX,Devs.Ven,Devs.fawn",12,True,False,False,False,False,,rewrite,
plugins,fakeProfileThemes,FakeProfileThemes,Default color source if both are present,"Devs.Alyxia,Devs.Remty",1,True,False,False,False,False,,rewrite,
plugins,favEmojiFirst,FavoriteEmojiFirst,Manage your emoji aliases.,"Devs.Aria,Devs.Ven,EquicordDevs.justjxke",3,True,True,False,False,False,,rewrite,
plugins,fixCodeblockGap,FixCodeblockGap,Removes the gap between codeblocks and text below it,Devs.Grzesiek11,0,True,False,False,False,False,,rewrite,
plugins,fixImagesQuality,FixImagesQuality,Also load the original image in Chat. WARNING: Read the caveats above,"Devs.Nuckyz,Devs.Ven",1,True,False,False,False,False,,rewrite,
plugins,fixSpotifyEmbeds.desktop,FixSpotifyEmbeds,The volume % to set for spotify embeds. Anything above 10% is veeeery loud,Devs.Ven,1,False,False,False,False,False,native.ts,native-feature,
plugins,fixYoutubeEmbeds.desktop,FixYoutubeEmbeds,Adds descriptions to youtube video embeds,"Devs.coolelectronics,Devs.arHSM",1,True,False,False,False,False,native.ts,native-feature,
plugins,forceOwnerCrown,ForceOwnerCrown,Force the owner crown next to usernames even if the server is large.,"Devs.D3SOX,Devs.Nickyux",0,True,False,False,False,False,,rewrite,
plugins,friendInvites,FriendInvites,"Create and manage friend invite links via slash commands (/create friend invite, /view friend invites, /revoke","Devs.afn,Devs.Dziurwa",0,False,False,False,False,False,,portable-ui,
plugins,fullSearchContext,FullSearchContext,Makes the message context menu in message search results have all options you'd expect,"Devs.Ven,Devs.Aria",1,True,False,False,False,False,,rewrite,
plugins,fullUserInChatbox,FullUserInChatbox,"Makes the user mention in the chatbox have more functionalities, like left/right clicking",Devs.sadan,0,True,False,False,False,False,,rewrite,
plugins,gameActivityToggle,GameActivityToggle,Use the old icon style before Discord icon redesign,"Devs.Nuckyz,Devs.RuukuLada,TestcordDevs.",4,False,False,False,False,False,,portable-logic,
plugins,gifPaste,GifPaste,Makes picking a gif in the gif picker insert a link into the chatbox instead of instantly sending it,Devs.Ven,0,True,False,False,False,False,,rewrite,
plugins,greetStickerPicker,GreetStickerPicker,Choose the greet mode,Devs.Ven,1,True,False,False,False,False,,rewrite,
plugins,hideAttachments,HideMedia,Hide attachments and embeds for individual messages via hover button,Devs.Ven,1,True,False,False,False,True,,rewrite,
plugins,iLoveSpam,ILoveSpam,Do not hide messages from 'likely spammers',"Devs.botato,Devs.Nyako",0,True,False,False,False,False,,rewrite,
plugins,ignoreActivities,IgnoreActivities,Change the mode of the filter list,"Devs.Nuckyz,Devs.Kylie",10,True,False,False,False,False,,rewrite,
plugins,imageFilename,ImageFilename,Show the full URL of the image instead of just the file name. Always enabled for GIFs because they usually hav,Devs.Ven,1,True,False,False,False,False,,rewrite,
plugins,imageLink,ImageLink,"Never hide image links in messages, even if it's the only content","Devs.Kyuuhachi,Devs.Sqaaakoi",0,True,False,False,False,False,,rewrite,
plugins,imageZoom,ImageZoom,Whether to save zoom and lens size values,Devs.Aria,8,True,False,False,False,False,,rewrite,
plugins,implicitRelationships,ImplicitRelationships,Whether to sort implicit relationships by their affinity to you.,Devs.Dolfies,0,False,False,False,False,False,,portable-logic,
plugins,ircColors,IrcColors,"Lightness, in %. Change if the colors are too light or too dark","Devs.Grzesiek11,Devs.jamesbt365",4,True,False,False,False,False,,rewrite,
plugins,keepCurrentChannel,KeepCurrentChannel,Attempt to navigate to the channel you were in before switching accounts or loading Discord.,Devs.Nuckyz,1,True,False,False,True,False,,rewrite,
plugins,loadingQuotes,LoadingQuotes,Should this plugin also apply during events with special event themed quotes? (e.g. Halloween),"Devs.Ven,Devs.KraXen72,Devs.UlyssesZhan",5,True,False,False,False,False,,rewrite,
plugins,memberCount,MemberCount,Show member count on the server tooltip,"Devs.Ven,Devs.Commandtechno,Devs.Apexo",3,True,False,False,False,False,,rewrite,
plugins,mentionAvatars,MentionAvatars,Whether the the @ symbol should be displayed on user mentions,"Devs.Ven,Devs.SerStars",1,True,False,False,False,False,,rewrite,
plugins,messageClickActions,MessageClickActions,Action on single click (your messages),"Devs.Ven,EquicordDevs.keircn,EquicordDev",20,False,False,False,False,False,,portable-logic,
